label,url,isLead
"terms of use","/images/Plugin Website - Terms of Use_FINAL.pdf",no
"PlugIN Events",Contact.aspx,no
"Corporate Events","ContentNew.aspx?sp=Corporate Events and Happy Hour",no
"Family Reunion","ContentNew.aspx?sp=Family Reunions",no
"Friends Night","ContentNew.aspx?sp=Get Together With Friends",no
"Birthday Parties","ContentNew.aspx?sp=Birthday Bash",no
"Bachelor and Bachelorette","ContentNew.aspx?sp=Bachelor and Bachelorette Parties",no
"Sweet 16s  Bar Mitzvahs",ContentNew.aspx?sp=Sweet16,no
About,ContentNew.aspx?sp=contentPage258,no
Franchising,ContentNew.aspx?sp=contentPage259,no
Press,press.aspx,no
"Price List",packages.aspx,no
FAQ,ContentNew.aspx?sp=contentPage268,no
"PlugIN Experience",ContentNew.aspx?sp=contentPage227,no
Playlist,PlugList.aspx,no
"Our Rooms",chooseroom.aspx?all=1,no
"Our Menu",ContentNew.aspx?sp=Menu,no
Shop,Shopping.aspx,no
Gallery,gallery.aspx,no
"Sweet 16s  Bar Mitzvahs",ContentNew.aspx?sp=Sweet16_,no
"Corporate Events  Happy Hour","ContentNew.aspx?sp=Corporate Events and Happy Hour_",no
"Family Reunions","ContentNew.aspx?sp=Family Reunions_",no
"Bachelor  Bachelorette Parties","ContentNew.aspx?sp=Bachelor and Bachelorette Parties_",no
"Birthday Bash","ContentNew.aspx?sp=Birthday Bash_",no
"View menu",/files/content/image_22052017_0459.pdf,no
"Corporate Events",/ContentNew.aspx?sp=Corporate%20Events%20and%20Happy%20Hour,no
"Family Reunions",/ContentNew.aspx?sp=Family%20Reunions,no
"Get Togther with Friends",/ContentNew.aspx?sp=Get%20Together%20With%20Friends,no
"Birthday Parties",/ContentNew.aspx?sp=Birthday%20Bash,no
"Bachelor and Bachelorette parties",/ContentNew.aspx?sp=Bachelor%20and%20Bachelorette%20Parties,no
"Sweet 16s Bar  Bat Mitzvas",/ContentNew.aspx?sp=Sweet16,no
About,/ContentNew.aspx?sp=contentPage258,no
Franchising,/ContentNew.aspx?sp=contentPage259,no
Press,/press.aspx,no
"Price List",/packages.aspx,no
FAQ,/ContentNew.aspx?sp=contentPage268,no
Playlist,/PlugList.aspx,no
"Our Rooms",/chooseroom.aspx?all=1,no
"Our Menu",/ContentNew.aspx?sp=Menu,no
"Contact Us",/Contact.aspx,no
Shop,/Shopping.aspx,no
Gallery,/gallery.aspx,no
